part_num	id	date	time	session	computer	gender	partner_gender	file_name
1	1892296257	03/20/13	10:00:00	1	3	m	f	auction200313_104834Pl_3Pa_1
2	1134871662	03/20/13	10:00:00	1	1	f	m	auction200313_104515Pl_1Pa_3
3	1100356858	03/20/13	14:30:00	2	1	f	m	auction200313_151422Pl_1Pa_3
4	1447227054	03/20/13	14:30:00	2	3	m	f	auction200313_151733Pl_3Pa_1
5	51668241	03/20/13	16:00:00	3	1	m	m	auction200313_165913Pl_1Pa_3
6	624208840	03/20/13	16:00:00	3	2	m	m	auction200313_170752Pl_2Pa_4
7	18925538	03/20/13	16:00:00	3	3	m	m	auction200313_170227Pl_3Pa_1
8	1323391940	03/20/13	16:00:00	3	4	m	m	auction200313_165851Pl_4Pa_2
9	55619704	03/20/13	17:30:00	4	1	m	f	auction200313_181625Pl_1Pa_3
10	1243617498	03/20/13	17:30:00	4	3	f	m	auction200313_181939Pl_3Pa_1
11	838931218	03/27/13	10:00:00	5	2	f	f	auction270313_105108Pl_2Pa_4
12	1368664411	03/27/13	10:00:00	5	4	f	f	auction270313_104200Pl_4Pa_2
13	1353495547	03/27/13	10:00:00	5	1	f	f	auction270313_103619Pl_1Pa_3
14	1323263459	03/27/13	10:00:00	5	3	f	f	auction270313_103933Pl_3Pa_1
15	297362092	03/27/13	11:30:00	6	4	f	f	auction270313_120044Pl_4Pa_2
16	1543380743	03/27/13	11:30:00	6	2	f	f	auction270313_120950Pl_2Pa_4
17	399276859	03/27/13	13:30:00	7	2	m	f	auction270313_141332Pl_2Pa_4
18	1200301217	03/27/13	13:30:00	7	3	m	f	auction270313_141034Pl_3Pa_1
19	2030254713	03/27/13	13:30:00	7	1	f	m	auction270313_140719Pl_1Pa_3
20	1207550007	03/27/13	13:30:00	7	4	f	m	auction270313_140426Pl_4Pa_2
21	710922642	03/27/13	15:00:00	8	1	f	f	auction270313_153358Pl_1Pa_3
22	2106076865	03/27/13	15:00:00	8	3	f	f	auction270313_153712Pl_3Pa_1
23	718442339	03/27/13	15:00:00	8	4	f	f	auction270313_153333Pl_4Pa_2
24	841037050	03/27/13	15:00:00	8	2	f	f	auction270313_154240Pl_2Pa_4
25	527486906	05/16/13	16:00:00	9	1	f	m	auction160513_163601Pl_1Pa_3
26	2130732	05/16/13	16:00:00	9	2	f	m	auction160513_164743Pl_2Pa_4
27	609861991	05/16/13	16:00:00	9	3	m	f	auction160513_163949Pl_3Pa_1
28	1984961724	05/16/13	16:00:00	9	4	m	f	auction160513_163757Pl_4Pa_2
29	287894544	05/16/13	17:30:00	10	1	f	f	auction160513_181320Pl_1Pa_3
30	267344298	05/16/13	17:30:00	10	3	f	f	auction160513_181707Pl_3Pa_1
31	904298377	05/21/13	10:00:00	11	1	f	m	auction210513_104956Pl_1Pa_3
32	1821990934	05/21/13	10:00:00	11	2	f	m	auction210513_105301Pl_2Pa_4
33	1969339069	05/21/13	10:00:00	11	3	m	f	auction210513_105346Pl_3Pa_1
34	2000307570	05/21/13	10:00:00	11	4	m	f	auction210513_104312Pl_4Pa_2
35	116862835	05/21/13	11:30:00	12	1	f	f	auction210513_120224Pl_1Pa_3
36	1110575172	05/21/13	11:30:00	12	2	m	f	auction210513_121802Pl_2Pa_4
37	1942823780	05/21/13	11:30:00	12	3	f	f	auction210513_120615Pl_3Pa_1
38	1436651157	05/21/13	11:30:00	12	4	f	m	auction210513_120813Pl_4Pa_2
39	1381636289	05/21/13	13:00:00	13	1	m	m	auction210513_134432Pl_1Pa_3
40	1544589095	05/21/13	13:00:00	13	3	m	m	auction210513_134821Pl_3Pa_1
41	1659395900	05/21/13	14:30:00	14	1	m	f	auction210513_151315Pl_1Pa_3
42	122754421	05/21/13	14:30:00	14	3	f	m	auction210513_151704Pl_3Pa_1
